yr,gen,block,plot,row,col,fy
H03,MK19,B4,MK19B4,4,8,11.97626814
H03,MK20,B4,MK20B4,4,12,6.312646464
H03,MK21,B4,MK21B4,4,5,9.228736111
H03,MK22,B4,MK22B4,4,25,3.722738095
H03,MK23,B4,MK23B4,4,13,8.504460317
H03,MK24,B4,MK24B4,4,17,13.17564284
H03,MK25,B4,MK25B4,4,22,15.81735376
H03,MK01,B5,MK01B5,5,9,21.01851191
H03,MK02,B5,MK02B5,5,10,9.070078655
H03,MK03,B5,MK03B5,5,8,21.19335119
H03,MK04,B5,MK04B5,5,6,13.09814192
H03,MK05,B5,MK05B5,5,24,3.022886364
H03,MK06,B5,MK06B5,5,15,18.36869312
H03,MK07,B5,MK07B5,5,12,12.02964291
H03,MK08,B5,MK08B5,5,25,11.25205399
H03,MK09,B5,MK09B5,5,23,14.75624282
H03,MK10,B5,MK10B5,5,7,4.648694949
H03,MK11,B5,MK11B5,5,20,3.8456122
H03,MK12,B5,MK12B5,5,13,19.23906791
H03,MK13,B5,MK13B5,5,14,10.14247167
H03,MK14,B5,MK14B5,5,22,13.719112
H03,MK15,B5,MK15B5,5,18,12.69841004
H03,MK16,B5,MK16B5,5,19,7.141427866
H03,MK17,B5,MK17B5,5,11,4.692736997
H03,MK18,B5,MK18B5,5,17,6.031041976
H03,MK19,B5,MK19B5,5,2,18.93023029
H03,MK20,B5,MK20B5,5,5,14.20345455
H03,MK21,B5,MK21B5,5,3,12.74444511
H03,MK22,B5,MK22B5,5,4,2.605916666
H03,MK23,B5,MK23B5,5,1,28.64660317
H03,MK24,B5,MK24B5,5,21,9.350456209
H03,MK25,B5,MK25B5,5,16,6.326941502
H04,MK01,B1,MK01B1,1,13,18.11169643
H04,MK02,B1,MK02B1,1,1,41.89512521
H04,MK03,B1,MK03B1,1,18,20.25142447
H04,MK04,B1,MK04B1,1,9,46.77907828
H04,MK05,B1,MK05B1,1,10,29.22123484
H04,MK06,B1,MK06B1,1,16,11.4804332
H04,MK07,B1,MK07B1,1,22,23.65829773
H04,MK08,B1,MK08B1,1,20,38.57847082
H04,MK09,B1,MK09B1,1,23,7.601700845
H04,MK10,B1,MK10B1,1,4,21.09792324
H04,MK11,B1,MK11B1,1,3,30.7648976
H04,MK12,B1,MK12B1,1,19,34.08063457
H04,MK13,B1,MK13B1,1,24,30.96122931
H04,MK14,B1,MK14B1,1,14,22.2344229
H04,MK15,B1,MK15B1,1,7,21.71018491
H04,MK16,B1,MK16B1,1,6,16.96089119
H04,MK17,B1,MK17B1,1,2,30.7160967
H04,MK18,B1,MK18B1,1,25,15.50839365
H04,MK19,B1,MK19B1,1,21,30.13383598
H04,MK20,B1,MK20B1,1,5,18.14885858
H04,MK21,B1,MK21B1,1,8,8.789272487
H04,MK22,B1,MK22B1,1,17,34.24919048
H04,MK23,B1,MK23B1,1,15,28.64660317
H04,MK24,B1,MK24B1,1,11,38.25186631
H04,MK25,B1,MK25B1,1,12,37.05780022
H04,MK01,B2,MK01B2,2,20,28.84455357
H04,MK02,B2,MK02B2,2,2,32.39313805
H04,MK03,B2,MK03B2,2,3,26.84491151
H04,MK04,B2,MK04B2,2,11,38.82663498
H04,MK05,B2,MK05B2,2,15,17.63350379
